Quick Lookup,Delivery Provider Lookup,Fulfillment Center Id,Window Id,Zone Id,Name,Market Code,Delivery Provider,Window Id,Fulfillment Center Id,Start Day,Start Time,End Day,End Time,Dispatch Day,Dispatch Time,Customization Start Day,Customization Start Time,Customization End Day,Customization End Time,Delivery Price,Order By,Is Visible,Message To User,DBP Route Id,DBP Window Id,Created,Archived,Archived Date,Sms Notifications,Updated,Pack Date Offset,Subtotal Min,Delivery Provider,Carrier Days in Transit,Zone Id,Fulfillment Center Id,Name,Expected Service Time In Minutes,Archived,Zone Pickup Address Id,Timezone,Created,Updated,Is Line Haul,Pickup Time,Transit Time,Market Code,To Be Archived
CHI|1,CHI|1|Bringg,c059b389-ff65-4283-8edb-06ffc96193af,863f927e-b0da-4a4c-b2df-43bd6327f392,52fa935c-7062-4d05-8b7e-8ff5614e539c,CHI: MONDAY PM,CHI,Bringg,863f927e-b0da-4a4c-b2df-43bd6327f392,c059b389-ff65-4283-8edb-06ffc96193af,1,5:00:00,1,21:00:00,6,18:00:00,4,15:00:00,6,12:00:00,5.99,0,TRUE,Hooray!  We deliver to your neighborhood on Monday afternoon/evening.,155,61,2018-05-31 17:40:53.713 -0500,FALSE,,TRUE,2022-11-04 11:45:22.770 -0500,1,,Bringg,,52fa935c-7062-4d05-8b7e-8ff5614e539c,c059b389-ff65-4283-8edb-06ffc96193af,CHI: MONDAY PM,5,FALSE,cf716172-2162-11e8-b467-0ed5f89f718b,America/Chicago,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:03.657 -0500,FALSE,8:30:00,0:00:00,CHI,FALSE
LAX|1,LAX|1|Bringg,9da947fe-5a46-424f-b328-e9414c197a32,53496958-8691-40df-87a2-f81a7f35c4df,c0e3d0ef-fedb-4cec-81cb-54d44f1f25c5,LAX: MONDAY PM,LAX,Bringg,53496958-8691-40df-87a2-f81a7f35c4df,9da947fe-5a46-424f-b328-e9414c197a32,1,5:00:00,1,21:00:00,6,15:00:00,4,15:00:00,6,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Monday afternoon/evening.,177,139,2018-06-01 16:25:44.021 -0500,FALSE,,TRUE,2022-11-04 11:45:22.775 -0500,1,,Bringg,,c0e3d0ef-fedb-4cec-81cb-54d44f1f25c5,9da947fe-5a46-424f-b328-e9414c197a32,LAX: MONDAY PM,5,FALSE,cf715ba0-2162-11e8-b467-0ed5f89f718b,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:03.888 -0500,FALSE,6:30:00,0:00:00,LAX,FALSE
PDX|1,PDX|1|Bringg,62759d07-dda5-4e5e-a0b9-fce960493522,256df303-a953-49e6-83ac-12dfe1fe7bbe,809168bd-e140-40d7-a68a-d987dfed93b8,PDX: MONDAY PM,PDX,Bringg,256df303-a953-49e6-83ac-12dfe1fe7bbe,62759d07-dda5-4e5e-a0b9-fce960493522,1,5:00:00,1,21:00:00,6,18:00:00,4,15:00:00,6,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Monday afternoon/evening.,110,16,2018-06-14 07:53:49.059 -0500,FALSE,,TRUE,2022-11-04 11:45:22.805 -0500,1,,Bringg,,809168bd-e140-40d7-a68a-d987dfed93b8,62759d07-dda5-4e5e-a0b9-fce960493522,PDX: MONDAY PM,5,FALSE,e7ecacf1-eeb3-4c20-b24e-5a1f7c7ae759,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:03.846 -0500,FALSE,8:00:00,0:00:00,PDX,FALSE
SEA|3,SEA|3|Bringg,62759d07-dda5-4e5e-a0b9-fce960493522,6c486673-70a3-4c86-93e4-f83266c102e1,d1173b22-06ae-49ab-b45c-1bfed0332a3f,SEA: WEDNESDAY PM,SEA,Bringg,6c486673-70a3-4c86-93e4-f83266c102e1,62759d07-dda5-4e5e-a0b9-fce960493522,3,5:00:00,3,21:00:00,1,18:00:00,5,15:00:00,1,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Wednesday afternoon/evening.,138,28,2018-06-14 07:53:50.694 -0500,FALSE,,TRUE,2022-11-04 11:45:22.779 -0500,1,,Bringg,,d1173b22-06ae-49ab-b45c-1bfed0332a3f,62759d07-dda5-4e5e-a0b9-fce960493522,SEA: WEDNESDAY PM,5,FALSE,cf71601e-2162-11e8-b467-0ed5f89f718b,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 16:17:48.161 -0500,TRUE,7:00:00,3:30:00,SEA,FALSE
PDX|3,PDX|3|Bringg,62759d07-dda5-4e5e-a0b9-fce960493522,96b2a2b2-d24e-4b3b-933e-f38851668a39,84e03d9b-7b67-4a8b-910d-72c7e1da6097,PDX: WEDNESDAY PM,PDX,Bringg,96b2a2b2-d24e-4b3b-933e-f38851668a39,62759d07-dda5-4e5e-a0b9-fce960493522,3,5:00:00,3,21:00:00,1,18:00:00,5,15:00:00,1,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Wednesday afternoon/evening.,117,21,2018-06-14 07:53:55.007 -0500,FALSE,,TRUE,2022-11-04 11:45:22.774 -0500,1,,Bringg,,84e03d9b-7b67-4a8b-910d-72c7e1da6097,62759d07-dda5-4e5e-a0b9-fce960493522,PDX: WEDNESDAY PM,5,FALSE,e7ecacf1-eeb3-4c20-b24e-5a1f7c7ae759,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:03.740 -0500,FALSE,8:00:00,0:00:00,PDX,FALSE
PDX|2,PDX|2|Bringg,62759d07-dda5-4e5e-a0b9-fce960493522,50038150-f7ac-43c3-bed4-a5316f11e46e,54ba1cc5-5f65-4c1e-b021-2dac65ff3c7f,PDX: TUESDAY PM,PDX,Bringg,50038150-f7ac-43c3-bed4-a5316f11e46e,62759d07-dda5-4e5e-a0b9-fce960493522,2,5:00:00,2,21:00:00,0,18:00:00,4,15:00:00,0,12:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Tuesday afternoon/evening.,116,20,2018-06-14 07:53:56.850 -0500,FALSE,,TRUE,2022-11-04 11:45:22.881 -0500,1,,Bringg,,54ba1cc5-5f65-4c1e-b021-2dac65ff3c7f,62759d07-dda5-4e5e-a0b9-fce960493522,PDX: TUESDAY PM,5,FALSE,e7ecacf1-eeb3-4c20-b24e-5a1f7c7ae759,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:04.215 -0500,FALSE,8:00:00,0:00:00,PDX,FALSE
PDX|4,PDX|4|Bringg,62759d07-dda5-4e5e-a0b9-fce960493522,cd564b4c-419c-4af1-8b39-32743663d14e,0b58b1f2-b858-4607-bcad-83d7cf13fd91,PDX: THURSDAY PM,PDX,Bringg,cd564b4c-419c-4af1-8b39-32743663d14e,62759d07-dda5-4e5e-a0b9-fce960493522,4,5:00:00,4,21:00:00,2,21:00:00,1,13:00:00,2,15:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Thursday afternoon/evening.,118,19,2018-06-18 13:20:58.183 -0500,FALSE,,TRUE,2022-11-04 11:45:22.811 -0500,1,,Bringg,,0b58b1f2-b858-4607-bcad-83d7cf13fd91,62759d07-dda5-4e5e-a0b9-fce960493522,PDX: THURSDAY PM,5,FALSE,e7ecacf1-eeb3-4c20-b24e-5a1f7c7ae759,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:03.740 -0500,FALSE,8:00:00,0:00:00,PDX,FALSE
SEA|4,SEA|4|Bringg,62759d07-dda5-4e5e-a0b9-fce960493522,38ebca8e-6bc8-4d6a-abdc-0817cc79ac08,b013d3d2-16ff-450f-bd7d-cae53fe77f79,SEA: THURSDAY PM,SEA,Bringg,38ebca8e-6bc8-4d6a-abdc-0817cc79ac08,62759d07-dda5-4e5e-a0b9-fce960493522,4,5:00:00,4,21:00:00,2,21:00:00,1,13:00:00,2,15:00:00,5.99,0,TRUE,Hooray! We deliver to your neighborhood on Thursday afternoon/evening.,139,22,2018-06-18 13:20:59.398 -0500,FALSE,,TRUE,2022-11-04 11:45:22.805 -0500,1,,Bringg,,b013d3d2-16ff-450f-bd7d-cae53fe77f79,62759d07-dda5-4e5e-a0b9-fce960493522,SEA: THURSDAY PM,5,FALSE,cf71601e-2162-11e8-b467-0ed5f89f718b,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 16:17:48.169 -0500,TRUE,7:00:00,3:30:00,SEA,FALSE
PickUp,PDX|1|PickUp,62759d07-dda5-4e5e-a0b9-fce960493522,d8b59966-0894-4457-b294-0179787d7f4d,5bde7ccc-173a-44a0-b290-88dbf142d077,PDX: Employee Warehouse Pick Up,PDX,PickUp,d8b59966-0894-4457-b294-0179787d7f4d,62759d07-dda5-4e5e-a0b9-fce960493522,1,5:00:00,1,21:00:00,6,18:00:00,4,15:00:00,6,12:00:00,0,0,TRUE,Hooray! We deliver to your neighborhood on Monday afternoon/evening.,128,176,2018-06-25 11:47:06.976 -0500,FALSE,,TRUE,2022-11-04 11:45:22.804 -0500,1,,PickUp,,5bde7ccc-173a-44a0-b290-88dbf142d077,62759d07-dda5-4e5e-a0b9-fce960493522,PDX: Employee Warehouse Pick Up,5,FALSE,e7ecacf1-eeb3-4c20-b24e-5a1f7c7ae759,America/Los_Angeles,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:04.215 -0500,FALSE,8:00:00,0:00:00,PDX,FALSE
PickUp,CHI|3|PickUp,c059b389-ff65-4283-8edb-06ffc96193af,a34d9d90-e74c-43ed-b639-60ad86ca361e,b65ce124-cdeb-4572-88b9-d71c4e39337c,CHI: Employee Warehouse Pick Up,CHI,PickUp,a34d9d90-e74c-43ed-b639-60ad86ca361e,c059b389-ff65-4283-8edb-06ffc96193af,3,5:00:00,3,20:00:00,1,18:00:00,5,15:00:00,1,12:00:00,0,0,TRUE,Hooray! We deliver to your neighborhood on Wednesday afternoon/evening.,164,177,2018-07-05 15:12:22.982 -0500,FALSE,,TRUE,2022-11-04 11:45:22.792 -0500,1,,PickUp,,b65ce124-cdeb-4572-88b9-d71c4e39337c,c059b389-ff65-4283-8edb-06ffc96193af,CHI: Employee Warehouse Pick Up,5,FALSE,cf716172-2162-11e8-b467-0ed5f89f718b,America/Chicago,2018-08-07 14:17:21.817 -0500,2021-08-02 11:25:03.657 -0500,FALSE,8:30:00,0:00:00,CHI,FALSE
