Zone ID,Zone Name,Christmas or New Years,Pack Date,Delivery Date,Custo Open Date / Time,Custo Close Date / Time
c20a3e51-4a21-481a-9dc9-ef9336adfd8a,NVA: MONDAY / TUESDAY PM,Christmas,12/26/2022,12/27/2022,"Thurs, 15:00:00","Sat, 12:00:00"
8697f4cc-e888-4f28-89b3-087d6cbcda5f,MOC: TUESDAY / WEDNESDAY PM,Christmas,12/27/2022,12/28/2022,"Thurs, 15:00:00","Sun, 12:00:00"
1f1112d1-15ab-4c07-a11f-503645e8ccf7,BWI: WEDNESDAY / THURSDAY PM,Christmas,12/28/2022,12/29/2022,"Fri, 15:00:00","Mon, 12:00:00"
8ff09422-4188-463a-802c-0f7afdff707e,CHI: MONDAY / TUESDAY PM,Christmas,12/26/2022,12/27/2022,"Thurs, 15:00:00","Sat, 12:00:00"
44d302e2-deb0-4fe1-a801-3c6d5fa94729,SNA: MONDAY / TUESDAY PM,Christmas,12/26/2022,12/27/2022,"Thurs, 15:00:00","Sat, 12:00:00"
f5bec5e3-007e-49c1-b344-6a882c562635,RNO: MONDAY / TUESDAY PM LAX,Christmas,12/26/2022,12/27/2022,"Thurs, 15:00:00","Sat, 12:00:00"
a3374a93-76af-4090-bef3-e2913ce881ff,SAC: MONDAY / TUESDAY PM LAX,Christmas,12/26/2022,12/27/2022,"Thurs, 15:00:00","Sat, 12:00:00"
e4c59fd0-f64c-42cb-8dfb-bed937651a25,SAN: MONDAY / TUESDAY PM,Christmas,12/26/2022,12/27/2022,"Thurs, 15:00:00","Sat, 12:00:00"
f7cb92de-d15b-46be-a5ca-6bfa9b8316e1,SFO: MONDAY / TUESDAY PM LAX,Christmas,12/26/2022,12/27/2022,"Thurs, 15:00:00","Sat, 12:00:00"
e67c1cef-fa90-4733-94eb-270b3b8b003f,NBY: MONDAY / TUESDAY PM LAX,Christmas,12/26/2022,12/27/2022,"Thurs, 15:00:00","Sat, 12:00:00"
33687397-e353-4ca2-9386-f7d04f223ffc,SBY: TUESDAY / WEDNESDAY PM,Christmas,12/27/2022,12/28/2022,"Thurs, 15:00:00","Sun, 12:00:00"
b49381d8-e88d-420f-bfc7-ce679e9ea835,LAX: WEDNESDAY / THURSDAY PM,Christmas,12/28/2022,12/29/2022,"Fri, 15:00:00","Mon, 12:00:00"
68ddecb0-f0f5-49f4-99a6-8e1d0a3cf575,EBY: WEDNESDAY / THURSDAY PM LAX,Christmas,12/28/2022,12/29/2022,"Fri, 15:00:00","Mon, 12:00:00"
01fd6dc3-a210-448c-8294-03f1d36cbab8,SBA: THURSDAY / FRIDAY PM,Christmas,12/29/2022,12/30/2022,"Fri, 15:00:00","Tues, 12:00:00"
cf94b1cd-3ddd-4fc6-afb5-12820d7ae44b,SAT: MONDAY / TUESDAY PM,Christmas,12/26/2022,12/27/2022,"Thurs, 15:00:00","Sat, 12:00:00"
c20a3e51-4a21-481a-9dc9-ef9336adfd8a,NVA: MONDAY / TUESDAY PM,New Years,1/2/2023,1/3/2023,"Thurs, 15:00:00","Sat, 12:00:00"
8697f4cc-e888-4f28-89b3-087d6cbcda5f,MOC: TUESDAY / WEDNESDAY PM,New Years,1/3/2023,1/4/2023,"Thurs, 15:00:00","Sun, 12:00:00"
1f1112d1-15ab-4c07-a11f-503645e8ccf7,BWI: WEDNESDAY / THURSDAY PM,New Years,1/4/2023,1/5/2023,"Fri, 15:00:00","Mon, 12:00:00"
8ff09422-4188-463a-802c-0f7afdff707e,CHI: MONDAY / TUESDAY PM,New Years,1/2/2023,1/3/2023,"Thurs, 15:00:00","Sat, 12:00:00"
44d302e2-deb0-4fe1-a801-3c6d5fa94729,SNA: MONDAY / TUESDAY PM,New Years,1/2/2023,1/3/2023,"Thurs, 15:00:00","Sat, 12:00:00"
f5bec5e3-007e-49c1-b344-6a882c562635,RNO: MONDAY / TUESDAY PM LAX,New Years,1/2/2023,1/3/2023,"Thurs, 15:00:00","Sat, 12:00:00"
a3374a93-76af-4090-bef3-e2913ce881ff,SAC: MONDAY / TUESDAY PM LAX,New Years,1/2/2023,1/3/2023,"Thurs, 15:00:00","Sat, 12:00:00"
