description,movedZoneId,referenceZoneId,zoneId,fulfillmentCenterId,name,timezone,zonePickupAddressId,expectedServiceTimeInMinutes,isLineHaul,pickupTime,marketCode,transitTime
Northern Virginia Mon/Tue on Tuesday,454a6f15-58ae-4926-9fec-3e1ce34e97f9,f106201b-c002-4f14-a347-f5255653286a,c20a3e51-4a21-481a-9dc9-ef9336adfd8a,25729cbe-719c-4314-ab07-0fbc45d38a11,NVA: MONDAY / TUESDAY PM,America/New_York,b1bdceab-39c6-4798-bac4-bc221d649624,5,TRUE,07:00,NVA,03:00
Montgomery County Tue/Wed on Wednesday,7baf358c-7a57-4453-885f-024244b7e085,b4f0872c-4274-4d5a-a382-340947c93a8e,8697f4cc-e888-4f28-89b3-087d6cbcda5f,25729cbe-719c-4314-ab07-0fbc45d38a11,MOC: TUESDAY / WEDNESDAY PM,America/New_York,39078e47-5a34-4ebf-a5ae-ecc88580ff75,5,TRUE,07:00,MOC,02:00
Severn Wed/Thu on Thursday,fe129db3-b17f-48a1-a67c-db357c322da9,1b091aac-6e7d-4b4c-aa1b-0cc5f4d62c00,1f1112d1-15ab-4c07-a11f-503645e8ccf7,25729cbe-719c-4314-ab07-0fbc45d38a11,BWI: WEDNESDAY / THURSDAY PM,America/New_York,fd775c49-63ca-48b0-bd57-dd885ee6b1a7,5,FALSE,07:00,BWI,00:00
Chicago Mon/Tue on Tuesday,52fa935c-7062-4d05-8b7e-8ff5614e539c,0a79fb34-7bf5-4177-8ea4-5d5438ef1526,8ff09422-4188-463a-802c-0f7afdff707e,c059b389-ff65-4283-8edb-06ffc96193af,CHI: MONDAY / TUESDAY PM,America/Chicago,cf716172-2162-11e8-b467-0ed5f89f718b,5,FALSE,08:30,CHI,00:00
Orange County Mon/Tue on Tuesday,5525902d-697f-47c6-9bad-69052b9e0cba,7671e319-9fa4-4239-a211-fb14ad922f3c,44d302e2-deb0-4fe1-a801-3c6d5fa94729,9da947fe-5a46-424f-b328-e9414c197a32,SNA: MONDAY / TUESDAY PM,America/Los_Angeles,f1e555d2-61b5-4520-9919-df0f7d3e51f2,5,TRUE,07:00,SNA,00:30
Reno Mon/Tue on Tuesday,c4e9823b-c681-4d9a-bb91-3b7c91aec815,1d65830e-3d09-4f54-830e-e184e2561028,f5bec5e3-007e-49c1-b344-6a882c562635,9da947fe-5a46-424f-b328-e9414c197a32,RNO: MONDAY / TUESDAY PM LAX,America/Los_Angeles,4f2f23cf-a0bf-42a1-8fcc-59283fd4403c,5,TRUE,07:00,RNO,08:00
Sacramento Mon/Tue on Tuesday,ce136a5a-2a40-49e0-9926-7dd6bd4d0ea0,564ce51d-9032-4585-9034-8be3523cf497,a3374a93-76af-4090-bef3-e2913ce881ff,9da947fe-5a46-424f-b328-e9414c197a32,SAC: MONDAY / TUESDAY PM LAX,America/Los_Angeles,8d6c7658-2136-482a-8ccd-8384c80b61c5,5,TRUE,07:00,SAC,06:00
San Diego Mon/Tue on Tuesday,b072d85c-2af2-428c-8d4f-58e43c3da1ea,f1ff0d39-426b-4449-a2b6-5fa33961a01c,e4c59fd0-f64c-42cb-8dfb-bed937651a25,9da947fe-5a46-424f-b328-e9414c197a32,SAN: MONDAY / TUESDAY PM,America/Los_Angeles,c295881d-a106-49ec-af39-e94aea62a41a,5,TRUE,07:00,SAN,02:00
San Francisco Mon/Tue on Tuesday,471931ee-a40c-4605-bd41-b27dea448ae0,aa376b4c-64ee-467b-b54d-a82872d867e2,f7cb92de-d15b-46be-a5ca-6bfa9b8316e1,9da947fe-5a46-424f-b328-e9414c197a32,SFO: MONDAY / TUESDAY PM LAX,America/Los_Angeles,cf715876-2162-11e8-b467-0ed5f89f718b,5,TRUE,07:00,SFO,06:15
Santa Rosa Mon/Tue on Tuesday,3c9c52c1-3be8-4514-99bb-f833eccae5e0,f2fb7465-afce-44df-8a35-e4eea4407aaa,e67c1cef-fa90-4733-94eb-270b3b8b003f,9da947fe-5a46-424f-b328-e9414c197a32,NBY: MONDAY / TUESDAY PM LAX,America/Los_Angeles,03861293-bbfb-4ee8-bf10-b69d49d30b60,5,TRUE,07:00,NBY,06:15
San Jose Tue/Wed on Wednesday,a1801281-48d9-46ba-9ae8-6076a98b7d12,bfd5e2a2-e78e-4e74-a4f5-5018db3df5f2,33687397-e353-4ca2-9386-f7d04f223ffc,9da947fe-5a46-424f-b328-e9414c197a32,SBY: TUESDAY / WEDNESDAY PM,America/Los_Angeles,88e39aa3-a01d-4155-8845-a6dc9b256459,5,TRUE,07:00,SBY,06:30
Los Angeles Wed/Thu on Thursday,d68c3d03-d489-4fa4-8bf3-b1f16ef3be46,be433287-38e0-4506-a03c-733b661b0ed4,b49381d8-e88d-420f-bfc7-ce679e9ea835,9da947fe-5a46-424f-b328-e9414c197a32,LAX: WEDNESDAY / THURSDAY PM,America/Los_Angeles,cf715ba0-2162-11e8-b467-0ed5f89f718b,5,FALSE,06:30,LAX,00:00
Pittsburg CA Wed/Thu on Thursday,0f16a6d9-dd20-4e0f-b0bf-f9b6d75db1ae,e95f3758-dffe-410a-8e79-a231a514e9b7,68ddecb0-f0f5-49f4-99a6-8e1d0a3cf575,9da947fe-5a46-424f-b328-e9414c197a32,EBY: WEDNESDAY / THURSDAY PM LAX,America/Los_Angeles,6b16ec7c-212d-4ec8-9d4a-81f057b9d5f9,5,TRUE,07:00,EBY,06:00
Santa Barbara Thu/Fri on Friday,acfde559-eb07-43b9-9553-500d64a17d63,5e9eecf8-a581-4077-a485-20c82f4a77b7,01fd6dc3-a210-448c-8294-03f1d36cbab8,9da947fe-5a46-424f-b328-e9414c197a32,SBA: THURSDAY / FRIDAY PM,America/Los_Angeles,a80348fe-97e1-4eda-9f55-d46c9ac690cb,5,TRUE,06:30,SBA,02:30
San Antonio Mon/Tue on Tuesday,71b3a579-4d11-46aa-8b3d-f3b6d780c7fe,bd802be4-50c8-42f3-8558-f1b3fd14ed91,cf94b1cd-3ddd-4fc6-afb5-12820d7ae44b,c2fcd071-f479-4f68-a54d-a382bd9fa552,SAT: MONDAY / TUESDAY PM,America/Chicago,51363b91-297e-423f-b86f-255afea14ae0,5,FALSE,06:00,SAT,00:00
