Address Nickname,FC Id,Zone Name,Market Code,Zone Id,Window Id,Start Day,Is In Plan,,Tuesday Employee PickUp,Wednesday Employee Pickup,Thursday Employee Pickup,Friday Employee Pickup,,FC_Name,Zone_Code,City_Name,Original_Delivery_Day,Exception_Delivery_Day,Original_Delivery_Date,Exception_Delivery_Date,Needs_Exception,,
Portland,PNW,PDX: Employee Warehouse Pick Up,PDX,5bde7ccc-173a-44a0-b290-88dbf142d077,d8b59966-0894-4457-b294-0179787d7f4d,1,TRUE,,Bellingham - EMP,Spokane - EMP,Richmond - EMP,Boise - EMP,,PNW,BLI,Bellingham,Monday,Tuesday,1,2,TRUE,0,Sunday
Chicago,CHI,CHI: Employee Warehouse Pick Up,CHI,b65ce124-cdeb-4572-88b9-d71c4e39337c,a34d9d90-e74c-43ed-b639-60ad86ca361e,3,TRUE,,Portland - EMP,Bronx - EMP,Los Angeles - EMP,Olympia - EMP,,PNW,PDX,Portland,Monday,Tuesday,1,2,TRUE,1,Monday
Los Angeles,LA,LAX: Employee Warehouse Pick Up,LAX,11c31e1d-9d8e-411d-a10b-cbd51bc941ec,0a01df79-858e-47d8-94b2-aa94a9410be4,5,TRUE,,Seattle - EMP,Philadelphia - EMP,San Diego - EMP,Cleveland - EMP,,PNW,SEA,Seattle,Monday,Tuesday,1,2,TRUE,2,Tuesday
Indianapolis,CHI,IND: Employee Warehouse Pick Up,IND,dabccbce-a78b-4303-92aa-cd15bd42f9f0,1648e6b2-cb67-4666-9f01-c687e8b0afa6,3,TRUE,,Pittsburgh - EMP,Chicago - EMP,San Francisco - EMP,Las Vegas - EMP,,BWI,PIT,Pittsburgh,Tuesday,Tuesday,2,2,FALSE,3,Wednesday
Philadelphia,BWI,PHL: Employee Warehouse Pick Up: Wed 7:00AM - 9:00PM EDT,PHL,be6e9e75-bf64-49ec-bce0-08b88052bfae,07a5bf82-578f-4fb4-ae7c-9722e9797078,3,TRUE,,Severn - EMP,Dayton - EMP,,Salt Lake City - EMP,,BWI,BWI,Severn,Monday,Tuesday,1,2,TRUE,4,Thursday
Bronx,BWI,BRX: Employee Warehouse Pick Up: Wed 7:00AM - 9:00PM EDT,BRX,038d1d6e-476d-4e98-9d2c-d0f3a89b08df,7876b80b-e992-4955-a2bd-c1f44a067ed9,3,TRUE,,Austin - EMP,Detroit - EMP,,Phoenix - EMP,,SAT,SAT,Austin,Tuesday,Tuesday,2,2,FALSE,5,Friday
Olympia,PNW,OLM: Employee Warehouse Pick-Up,OLM,1dc0d882-364b-4d3d-bd94-919398aba246,d9e7246a-a190-48a5-90a6-20cb9f5e6011,4,TRUE,,Austin - EMP,Indianapolis - EMP,,Los Angeles - EMP,,SAT,IAH,Austin,Tuesday,Tuesday,2,2,FALSE,6,Saturday
Denver,LA,DEN: Employee Warehouse Pick Up,DEN,70ae14e8-292a-4bc2-a1d8-37f5ddf04d72,3270e6bc-6da1-433f-b81e-85d06bdecbd6,2,TRUE,,Austin - EMP,Louisville - EMP,,San Jose - EMP,,SAT,DFW,Austin,Tuesday,Tuesday,2,2,FALSE,,
Merced,LA,MCE: Employee Warehouse Pick Up,MCE,237a329f-8353-4d40-95ae-fced5ff5d265,d2b6901b-966e-4cd6-93bb-a598047d76fa,2,TRUE,,Austin - EMP,Kansas City - EMP,,Pittsburg CA - EMP,,SAT,AUS,Austin,Tuesday,Tuesday,2,2,FALSE,,
San Diego,LA,SAN: Employee Warehouse Pick Up,SAN,3b5e41cd-7e0e-4b67-8830-99eb650f9cd3,ea5ef9db-3c2d-4c76-98b6-16f462c94a59,4,TRUE,,Baton Rouge - EMP,Madison WI - EMP,,Sacramento - EMP,,SAT,BTR,Baton Rouge,Tuesday,Tuesday,2,2,FALSE,,
