,0,1,2,3,4,5,,
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,Bellingham - Monday,Bellingham - Tuesday,Bellingham - Wednesday,Bellingham - Thursday,,PNW
,,,Bellingham - EMP,Bend - Tuesday,Bend - Wednesday,Bend - Thursday,,
,,,Bend - Monday,Boise - Tuesday,Boise - Wednesday,Boise - Thursday,,
,,,Boise - Monday,Eugene - Tuesday,Eugene - Wednesday,Boise - EMP,,
,,,Eugene - Monday,Olympia - Tuesday,Olympia - Wednesday,Eugene - Thursday,,
,,,Olympia - Monday,Portland - Tuesday,Portland - Wednesday,Olympia - EMP,,
,,,Portland - EMP,Seattle - Tuesday,Seattle - Wednesday,Olympia - Thursday,,
,,,Portland - Monday,Spokane - Tuesday,Spokane - Wednesday,Portland - Thursday,,
,,,Seattle - EMP,Spokane - EMP,,Seattle - Thursday,,
,,,Seattle - Monday,,,Spokane - Thursday,,
,,,Spokane - Monday,,,,,
,,,,,,,,
,,,Boston - Tuesday,Boston - Wednesday,Boston - Thursday,Boston - Friday,,BWI
,,,Cleveland - Tuesday,Bronx - EMP,Cleveland - Thursday,Cleveland - EMP,,
,,,Hartford - Tuesday,Cleveland - Wednesday,Hartford - Thursday,Cleveland - Friday,,
,,,Montgomery County - Monday,Hartford - Wednesday,Montgomery County - Thursday,Hartford - Friday,,
,,,Northern Virginia - Tuesday,Montgomery County - Wednesday,Northern Virginia - Thursday,Montgomery County - Friday,,
,,,Philadelphia - Tuesday,Northern Virginia - Wednesday,Philadelphia - Thursday,Northern Virginia - Friday,,
,,,Pittsburgh - Tuesday,Philadelphia - EMP,Pittsburgh - Thursday,Philadelphia - Friday,,
,,,Pittsburgh - EMP,Philadelphia - Wednesday,Raleigh - Thursday,Pittsburgh - Friday,,
,,,Raleigh - Tuesday,Pittsburgh - Wednesday,Richmond - EMP,Raleigh - Friday,,
,,,Richmond - Tuesday,Raleigh - Wednesday,Richmond - Thursday,Richmond - Friday,,
,,,Severn - Monday,Richmond - Wednesday,Severn - Thursday,Severn - Friday,,
,,,Severn - EMP,Severn - Tuesday,Bronx - Wednesday,Bronx - Thursday,,
,,,Bronx - Monday,Bronx - Tuesday,Long Island - Wednesday,Long Island - Thursday,,
,,,Long Island - Monday,Long Island - Tuesday,Newark - Wednesday,Newark - Thursday,,
,,,Newark - Monday,Newark - Tuesday,Severn - Wednesday,,,
,,,Northern Virginia - Monday,Montgomery County - Tuesday,,,,
,,,Chicago - Tuesday,Chicago - EMP,Chicago - Thursday,Chicago - Friday,,CHI
,,,Chicago - Monday,Chicago - Wednesday,Dayton - Wednesday,Des Moines - Friday,,
,,,Des Moines - Tuesday,Dayton - EMP,Des Moines - Thursday,Detroit - Friday,,
,,,Detroit - Tuesday,Dayton - Tuesday,Detroit - Thursday,Kansas City - Friday,,
,,,Dayton - Monday,Des Moines - Wednesday,Indianapolis - Wednesday,Northwest Indiana - Friday,,
