Market Code,Market Name
ATM,College Station
AUS,Austin
BDN,Bend
BLI,Bellingham
BNA,Nashville
BOI,Boise
BOS,Boston
BRX,Bronx
BTR,Baton Rouge
BWI,Severn
CHI,Chicago
CLE,Cleveland
CRP,Corpus Christi
DAY,Dayton
DEN,Denver
DFW,Dallas-Fort Worth
DSM,Des Moines
DTW,Detroit
EBY,Pittsburg CA
EUG,Eugene
EWR,Newark
HAR,Hartford
IAH,Houston
IND,Indianapolis
KCI,Kansas City
LAS,Las Vegas
LAX,Los Angeles
LIM,Long Island
LOU,Louisville
MCE,Merced
MKE,Milwaukee
MOC,Montgomery County
MSN,Madison WI
MSP,Minneapolis-Saint Paul
NBY,Santa Rosa
NVA,Northern Virginia
NWI,Northwest Indiana
OKC,Oklahoma City
OLM,Olympia
PDX,Portland
PHL,Philadelphia
PHX,Phoenix
PIT,Pittsburgh
RDU,Raleigh
RIC,Richmond
RNO,Reno
SAC,Sacramento
SAN,San Diego
SAT,San Antonio
SBA,Santa Barbara
SBY,San Jose
SEA,Seattle
SFO,San Francisco
SLC,Salt Lake City
SNA,Orange County
SPK,Spokane
STL,St Louis
SWM,Southwest Michigan
TPL,Temple/Waco
TUS,Tucson
